first_inspection,name,cuisine,borough,building,street,zipcode,phone,camis
2026-05-14,MTSKHETA-USA INC,Eastern European,Brooklyn,2812,Ocean Avenue,11229,7186761868,50173490
2026-05-14,BOJANGLES,American,Brooklyn,5910,Church Avenue,11203,3473950360,50177801
2026-05-14,ANTS COFFEE,Coffee/Tea,Brooklyn,718,Lorimer Street,11211,9292417798,50182098
2026-05-14,HALAL CHICKS & PLATTERS,American,Manhattan,3878,Broadway,10032,9293618669,50184119
2026-05-14,LAMONTE PIZZA,Pizza,Brooklyn,558,Driggs Avenue,11211,7185550123,50181359
2026-05-14,BK PIZZA,Bangladeshi,Brooklyn,1491,Broadway,11221,6466427988,50184280
2026-05-13,BAOS & BOWLS,Chinese,Manhattan,401,East   13 Street,10009,6463704725,50175219
2026-05-13,GROWL GROWL HOT POT & COCKTAIL,Korean,Manhattan,11,West   36 Street,10018,6463211090,50179744
2026-05-13,TRE SORELLE,Italian,Manhattan,61,Reade Street,10007,2126191080,50180286
2026-05-13,THE COPPOLA CAFE,Coffee/Tea,Manhattan,171,West    4 Street,10014,9294309955,50182369
2026-05-13,MITANI NEW YORK,Japanese,Manhattan,455,Madison Avenue,10022,2125183276,50185488
2026-05-13,THE GEM SALOON,American,Manhattan,375,3 Avenue,10016,6466127757,50176355
2026-05-12,BARLUME,Mediterranean,Manhattan,900,Broadway,10003,2069200167,50161512
2026-05-12,ART MIDTOWN,American,Manhattan,351,West   38 Street,10018,7726963085,50152974
2026-05-12,HIGH BAR ROOF TOP,American,Manhattan,350,West   40 Street,10018,9297970375,50170026
2026-05-12,BENJI'S BUNS,Bakery Products/Desserts,Manhattan,122,Christopher Street,10014,6465038883,50174096
2026-05-12,BUDDY'S,American,Manhattan,354,3 Avenue,10010,9175432948,50177553
2026-05-12,SUSHI KING,Japanese,Manhattan,151,Allen Street,10002,6464100024,50183302
2026-05-12,BISTROT 3 TOROS,French,Manhattan,2026,2 Avenue,10029,3473238164,50183486
2026-05-12,CHOPPED PARSLEY,Japanese,Manhattan,1730,Amsterdam Avenue,10031,9172884229,50185134
2026-05-11,SEVEN FISH CUISINE,Chinese,Brooklyn,782,47 Street,11220,6462363392,50173456
2026-05-11,BURGER KING,American,Brooklyn,1412,Myrtle Avenue,11237,5167671472,50181082
2026-05-11,ROLLCRAFT,Japanese,Manhattan,77,East   10 Street,10003,2018931848,50182448
2026-05-11,PHO TABLE,Asian/Asian Fusion,Brooklyn,1870,86 Street,11214,5157706076,50173251
2026-05-11,JR VALLE RESTAURANT,Latin American,Manhattan,1944,Amsterdam Avenue,10032,9172570925,50183671
2026-05-11,PUNJABI CHAAP CORNER,Indian,Manhattan,110,Lexington Avenue,10016,5164987415,50178834
2026-05-11,Aris pizza,Pizza,Brooklyn,4414,5 Avenue,11220,9176782129,50181036
2026-05-11,SHAH'S HALAL FOOD,Other,Brooklyn,1611,Broadway,11207,9173461436,50175963
2026-05-09,THE G.O.A.T,Middle Eastern,Brooklyn,1726,Jerome Avenue,11235,7186761221,50170643
2026-05-08,DUNKIN/MICHAEL H. OLLIS FERRY BOATS TAVERN,Coffee/Tea,Manhattan,4,South Street,10004,9292789304,50183447
2026-05-07,INDIA HOUSE,Other,Brooklyn,586,Nostrand Avenue,11216,6315327376,50181014
2026-05-07,TERA MERA,Indian,Brooklyn,272,Court Street,11231,9176222276,50169121
2026-05-07,BLOSSOM KITCHEN,Other,Brooklyn,707,Nostrand Avenue,11216,7184931375,50176807
2026-05-07,CANTINA ROOFTOP,Mexican,Manhattan,605,West   48 Street,10036,2129571800,41691166
2026-05-07,HUDSON VU ROOFTOP (INK 48 HOTEL),American,Manhattan,653,11 Avenue,10036,9296007503,50163669
2026-05-07,ASPHALT GREEN CAFE,American,Manhattan,555,East   90 Street,10128,7182084051,50172531
2026-05-07,DRAGON CITY,Chinese,Brooklyn,4017,Avenue U,11234,3473746886,50182234
2026-05-07,MADO RESTAURANT DU MONDE,African,Manhattan,2046,Adam Clayton Powell Jr Boulevard,,6465933098,50179702
2026-05-07,ROKSTAR CHICKEN,Chicken,Manhattan,52,East    8 Street,10003,6467915766,50183153
2026-05-07,BROOKLYN CAFE & EATERY,American,Brooklyn,5922,Avenue N,11234,7182092246,50184188
2026-05-07,EGGCELLENT TACOS,Mexican,Manhattan,400,Audubon Avenue,10033,7186832017,50181730
2026-05-06,MIXED INGREDIENTS,Coffee/Tea,Manhattan,71,Orchard Street,10002,3476804361,50177493
2026-05-06,SWEET & FAVORITE CAKE SHOP,Bakery Products/Desserts,Brooklyn,2224,Avenue X,11235,9296341153,50179188
2026-05-06,PIZZA POINT,Pizza,Manhattan,123,Nagle Avenue,10040,9292789945,50181025
2026-05-06,HOM CAFE & WINE,Asian/Asian Fusion,Brooklyn,72,7 Avenue,11217,6315684754,50172946
2026-05-06,HAPPY SANDWICH & DRINK,Sandwiches,Brooklyn,43,Hicks Street,11201,6466762170,50177739
2026-05-06,COLBO,Coffee/Tea,Manhattan,51,Orchard Street,10002,6466827944,50172081
2026-05-06,FERMENTO,Pizza,Manhattan,226,Varick Street,10014,6464762260,50177809
2026-05-06,CAFE AT THE BROOKLYN MUSEUM,Other,Brooklyn,200,Eastern Parkway,11238,2123376092,50175667
2026-05-06,HOUSE OF DOMES,Italian,Manhattan,64,Charlton Street,10014,2122063766,50174342
2026-05-06,SAMA'ZA,Pizza,Manhattan,370,West   51 Street,10019,2129330260,50182334
2026-05-05,WATCHHOUSE COFFEE,Coffee/Tea,Manhattan,405,Lexington Avenue,10174,6465134121,50171319
2026-05-05,TAWNY,American,Manhattan,173,Henry Street,10002,9087701278,50172639
2026-05-05,King Wok,Chinese,Brooklyn,3510,Nostrand Avenue,11229,7186152117,50174553
2026-05-05,POPS PIZZA,Pizza,Manhattan,975,8 Avenue,10019,5168497766,50182309
2026-05-05,FRIED RICE KING,Other,Manhattan,230,Park Avenue,10169,9295715173,50169939
2026-05-05,LA LUZ DEL PUENTE,Latin American,Brooklyn,231,South    4 Street,11211,7183875111,50175254
2026-05-05,GREY DOG,American,Manhattan,304,West   56 Street,10019,6462595375,50179209
2026-05-05,LUCI'S CAFE,Other,Brooklyn,1183,Bedford Avenue,11216,3476929579,50180727
2026-05-05,HALAL MUNCHIES,Sandwiches,Manhattan,1810,3 Avenue,10029,9298901198,50181493
2026-05-05,MCDONALD'S,American,Manhattan,4259,Broadway,10033,2013940399,50183864
2026-05-05,BEST WESTERN PREMIER,American,Manhattan,50,West   36 Street,10018,6318334030,50166684
2026-05-05,XI'AN FAMOUS FOODS,Chinese,Manhattan,62,Fulton Street,10038,6462098242,50182125
2026-05-05,OLD HOMESTEAD,American,Manhattan,56,9 Avenue,10011,2122429040,40364715
2026-05-05,YAWNING COBRA,American,Manhattan,356,Bowery,10012,6463703094,50173916
2026-05-05,AVE J PIZZA,Jewish/Kosher,Brooklyn,1312,Avenue J,11230,7183388156,50179033
2026-05-05,JOSEPH BROTHERS AT THE HUGH,American,Manhattan,601,Lexington Avenue,10022,6465267262,50179563
2026-05-05,UNCLE ROGERS BAR/LACEY BURGER,Other,Brooklyn,704,Nostrand Avenue,11216,9494005179,50180884
2026-05-05,MISS YOLO'S TACOS,Mexican,Manhattan,230,Park Avenue,10169,6462665642,50154567
2026-05-04,DUE FRATELLI,Pizza,Brooklyn,135,Wyckoff Avenue,11237,6318759544,50175193
2026-05-04,SAAMO CAFE,Eastern European,Brooklyn,2568,86 Street,11214,7186761266,50175912
2026-05-04,CORNER BAR / SWAN ROOM,New American,Manhattan,54,Canal Street,10002,2106675921,50177069
2026-05-04,LADY MOO MOO,Frozen Desserts,Brooklyn,1206,Halsey Street,11207,6464436786,50178971
2026-05-04,BURGER KING,Sandwiches/Salads/Mixed Buffet,Manhattan,620,West  181 Street,10033,7187360999,50181134
2026-05-04,BEFINE CHA,Chinese,Manhattan,67,Bayard Street,10013,4699806788,50168389
2026-05-04,GENKI EAST OMAKASE,Japanese,Manhattan,111,Stanton Street,10002,6466675511,50174290
2026-05-04,THE BROTHERS CARIBBEAN RESTAURANT,Other,Brooklyn,213,Schenectady Avenue,11213,8454285640,50177488
2026-05-04,PAISA PICAPOLLO,Latin American,Manhattan,501,West  167 Street,10032,7187175655,50179015
2026-05-04,APOLLO 590 CAFE,American,Manhattan,590,Madison Avenue,10022,5166506016,50183478
2026-05-04,HOLY SCHNITZEL,Sandwiches/Salads/Mixed Buffet,Brooklyn,819,Avenue U,11223,8629305180,50174789
2026-05-04,CORNER BISTRO EAST,American,Manhattan,94,Avenue A,10009,9173882198,50174794
2026-05-04,HAUNGQI FISH BALLS INC,Chinese,Brooklyn,5221,Fort Hamilton Parkway,11219,3473951575,50176653
2026-05-04,Gotham City Billiards,American,Brooklyn,93,Avenue U,11223,3478825862,50179939
2026-05-04,COFFEECCINO,Turkish,Brooklyn,1206,Avenue U,11229,7184907779,50183405
2026-05-04,MANOLO TAPAS RESTAURANT,Tapas,Manhattan,4161,Broadway,10033,2129239100,41454995
2026-05-04,VICTORIA PIZZA,Pizza,Brooklyn,2716,Gerritsen Avenue,11229,9179743116,50171360
2026-05-04,GOLDEN STEAMER,Chinese,Brooklyn,1964,86 Street,11214,7189967888,50176674
2026-05-04,Q&I Bakery,Chinese,Brooklyn,6516,11 Avenue,11219,7182382638,50180948
2026-05-04,MR. BROADWAY,Jewish/Kosher,Brooklyn,1776,Ocean Avenue,11230,7186004499,50181553
2026-05-04,HALSEY GRILL TAKEOUT,American,Brooklyn,2912,Beverley Rd,11226,3474968448,50183612
2026-05-02,PEP BAKEHOUSE & COFFEE SHOP,Other,Brooklyn,9413,3 Avenue,11209,6462439473,50175822
2026-05-02,JOE'S STEAM RICE ROLL,Chinese,Brooklyn,774,58 Street,11220,7182101668,50176704
2026-05-02,QAHWAH HOUSE COFFEE,Other,Brooklyn,8602,4 Avenue,11209,9293929442,50166119
2026-05-02,MOMMY'S BAR,American,Brooklyn,323,Graham Avenue,11211,4258941293,50164461
2026-05-02,BAYRIDGE FISH MARKET,Other,Brooklyn,7608,3 Avenue,11209,3478601392,50174088
2026-05-02,ABEJA COFFEE,Coffee/Tea,Brooklyn,349,Scholes Street,11206,9178337080,50180959
2026-05-02,HYDERABAD PERI PERI,Indian,Brooklyn,804,Grand St,11211,9174975594,50179593
2026-05-02,MOONRISE BAKEHOUSE,Bakery Products/Desserts,Brooklyn,906,40 Street,11219,7184391928,50100574
2026-05-01,CRAFTED HALAL,Mediterranean,Brooklyn,86,Bushwick Avenue,11211,3472234720,50177751
2026-05-01,SWEET & FAVORITE CAKE SHOP,Fusion,Brooklyn,2109,Avenue U,11229,9296341153,50178805
2026-05-01,OBERON,American,Brooklyn,482,Driggs Avenue,11211,9173927850,50177199
2026-05-01,SONNYBOY,Australian,Manhattan,65,Rivington Street,10002,9172734865,50156068
2026-05-01,MATTER,Salads,Manhattan,170,Crosby Street,10012,6465656976,50175978
2026-05-01,TAQUERIA EL CHATO,Mexican,Manhattan,120,Macdougal Street,10012,3475856531,50175227
2026-05-01,LA TIENDA,Sandwiches,Brooklyn,5409,4 Avenue,11220,3472234501,50177377
2026-05-01,FLUFFIES HOT CHICKEN,American,Manhattan,66,West  125 Street,10027,9175457292,50183810
2026-05-01,BROOKLYN FRENCH BAKERS,Bakery Products/Desserts,Brooklyn,41,Flatbush Avenue,11217,3475378638,50180406
2026-05-01,BALERA,Pizza,Brooklyn,442,Graham Avenue,11211,3473842188,50182709
2026-04-30,RYRY'S,Other,Brooklyn,1140,Utica Avenue,11203,9176155981,50167590
2026-04-30,BABBO,Italian,Manhattan,110,Waverly Place,10011,2127770303,50176258
2026-04-30,SAKURA JAPAN,Asian/Asian Fusion,Brooklyn,587,Wilson Avenue,11207,3473228640,50180700
2026-04-30,STEAK STREET,Steakhouse,Manhattan,642,Lexington Avenue,10022,6462705577,50181479
2026-04-30,ONETWOONE CAFÉ,Coffee/Tea,Brooklyn,121,Ralph Avenue,11221,7189130277,50182064
2026-04-30,MCDONALD'S,Hamburgers,Manhattan,824,3 Avenue,10022,9147434484,50183892
2026-04-30,PATTIN',New American,Manhattan,242,West   49 Street,10019,2122923171,50178751
2026-04-30,JUDY,Korean,Manhattan,380,5 Avenue,10018,2126438785,50049260
2026-04-30,LITTLE CUPCAKE BAKESHOP,Bakery Products/Desserts,Manhattan,270,Bleecker Street,10014,2122439900,50175657
2026-04-30,THEY SAY THAT,Thai,Brooklyn,615,Wilson Avenue,11207,3476776610,50178912
2026-04-30,AL REEF BAKERY & RESTAURANT,Middle Eastern,Brooklyn,7905,5 Avenue,11209,7189280000,50176023
2026-04-30,PARK ROSE,Italian,Manhattan,444,Park Avenue South,10016,5513455118,50179759
2026-04-29,Client Center,American,Manhattan,270,Park Avenue,10017,9175312269,50172020
2026-04-29,BLANK STREET,Coffee/Tea,Manhattan,442,6 Avenue,10011,9174122680,50173818
2026-04-29,EXECUTIVE DINING ROOM,American,Manhattan,388,Greenwich Street,10013,2125199422,50176243
2026-04-29,BUB'S BAKERY,Coffee/Tea,Manhattan,325,Lafayette Street,10012,8622924445,50176854
2026-04-29,JOY'S CAFE,Chinese,Manhattan,60,Bayard Street,10013,6466092331,50181932
2026-04-29,KITH,American,Manhattan,337,Lafayette Street,10012,9174591305,50170690
2026-04-29,MIKADO,Japanese,Brooklyn,931,Manhattan Avenue,11222,7183010571,50176388
2026-04-29,SOMETHING GREEN,American,Manhattan,39,West   23 Street,10010,9174426903,50177051
2026-04-29,PROFIT CHINESE RESTAURANT,Chinese,Manhattan,643,2 Avenue,10016,9173868863,50181860
2026-04-29,SHO TSE,Eastern European,Manhattan,120,Christopher Street,10014,6465298339,50149500
2026-04-29,MAMALI,Eastern European,Manhattan,70,Christopher Street,10014,9298998098,50168021
2026-04-29,COOL SIPS,Coffee/Tea,Manhattan,156,Sullivan Street,10012,9176995539,50173112
2026-04-29,TUTT HEIGHTS,Middle Eastern,Brooklyn,47,Hicks Street,11201,7187227777,50177016
2026-04-29,FRIDA'S,Mexican,Brooklyn,1264,Myrtle Avenue,11221,9293466005,50182857
2026-04-29,MOTEK,Jewish/Kosher,Manhattan,184,Bleecker Street,10012,7862398169,50185342
2026-04-29,LITTLE BRANCH,American,Manhattan,20,7 Avenue South,10014,2129294360,50097492
2026-04-29,LITTLE BANCHAN SHOP,Korean,Manhattan,25,11 Avenue,10011,6466178577,50151728
2026-04-29,ZUCKER'S BAGELS & SMOKED FISH,Bagels/Pretzels,Brooklyn,356,Devoe Street,11211,2126611520,50179362
2026-04-29,UPSIDE PIZZA,Pizza,Manhattan,63,Wall Street,10005,9176869217,50182108
2026-04-28,CHEESE WHEEL PASTAS,Italian,Manhattan,5,Carmine Street,10014,2126931600,50177372
2026-04-28,BIRDIE'S,Frozen Desserts,Manhattan,152,7 Avenue South,10014,__________,50177786
2026-04-28,CAFFE NEGRONI,Italian,Brooklyn,308,86 Street,11209,7182194101,50178543
2026-04-28,KUNG FU TEA,Russian,Brooklyn,80,Livingston Street,11201,9179815877,50179096
2026-04-28,STUDIO 151,Japanese,Manhattan,151,Avenue C,10009,6469432816,50012601
2026-04-28,TOUS LES JOURS,Bakery Products/Desserts,Manhattan,24,East   23 Street,10010,2817160194,50177118
2026-04-28,TERIYAKI ONE,Other,Brooklyn,500,Fulton Street,11201,5164032988,50180224
2026-04-28,SORATE,Other,Manhattan,30,East   18 Street,10003,7185942393,50175890
2026-04-28,FAST TIMES/BUCK MASON,Coffee/Tea,Manhattan,486,Broadway,10013,3322517560,50172689
2026-04-28,LATTE DA,Coffee/Tea,Brooklyn,280,86 Street,11209,3474920223,50178102
2026-04-28,THE MAZE,New American,Manhattan,43,West   24 Street,10010,2012323206,50179161
2026-04-28,SUNDAY MORNING,Bakery Products/Desserts,Manhattan,11,West   25 Street,10010,7865536409,50181856
2026-04-27,STARBUCKS,Coffee/Tea,Manhattan,2,Broadway,10004,2126159736,50168556
2026-04-27,KRAVE IT PIZZA & SANDWICH JOINT,Pizza,Brooklyn,11,Bogart Street,11206,9295088629,50179972
2026-04-27,HELLO SWEET SPOT,Pancakes/Waffles,Brooklyn,923,Cortelyou Road,11218,9297613787,50180460
2026-04-27,EDOYA SUSHI,Japanese,Manhattan,151,Rivington Street,10002,2122560571,50184425
2026-04-27,FROZEN LOVE,Other,Manhattan,122,La Salle Street,10027,9173256400,50159261
2026-04-27,NYC PIZZERIA,Pizza,Manhattan,393,8 Avenue,10001,3473489702,50172624
2026-04-27,POWERHOUSE GYM,Other,Manhattan,158,West   27 Street,10001,9174946424,50178873
2026-04-27,TOMAS SANDWICH SHOP,American,Manhattan,930,Columbus Avenue,10025,9176513179,50180968
2026-04-27,LAHANA AUTHENTIC INDIAN CUISINE,Indian,Manhattan,803,9 Avenue,10019,2124591515,50182861
2026-04-27,BKB,Other,Brooklyn,327,Stuyvesant Avenue,11233,9176316347,50171214
2026-04-27,BIRCH COFFEE,Coffee/Tea,Manhattan,230,Park Avenue,10169,6315593621,50176048
2026-04-27,COOKIE ODYSSEY,Bakery Products/Desserts,Manhattan,1414,2 Avenue,10021,9178484445,50182066
2026-04-27,NATURAL BLEND,Caribbean,Brooklyn,11,Stanwix Street,11206,9176094737,50177171
2026-04-27,VANDERBUILT MARKET  - BARS & EATERIES / BELLO ANGELO,American,Manhattan,230,Park Avenue,10169,6468742043,50178538
2026-04-26,THE BLUE BLOSSOM,Chinese/Japanese,Brooklyn,135,North    5 Street,11249,9296993650,50176849
2026-04-25,Fu Wing Cuisine,Chinese,Manhattan,153,East  106 Street,10029,2129875329,50181366
2026-04-25,VIEW LOUNGE,American,Manhattan,1535,Broadway,10036,2127048900,40750343
2026-04-25,PLATINUM DOLLS GENTLEMEN'S CLUB,American,Manhattan,725,7 Avenue,10019,9547096284,50083763
2026-04-25,J LOFT,American,Brooklyn,1055,East   45 Street,11203,3474057799,50062967
2026-04-25,XI'AN FAMOUS FOODS,Chinese,Manhattan,885,8 Avenue,10019,6462098242,50178814
2026-04-24,GOLDEN RATIO,American,Brooklyn,216,Greene Avenue,11238,7186222702,50179527
2026-04-24,MEILAIXUAN,Other,Manhattan,62,Bayard Street,10013,9175381872,50181545
2026-04-24,MI CASA RESTAURANT CON NCY,Latin American,Manhattan,1552,Saint Nicholas Avenue,10040,6462477757,50173574
2026-04-24,MILLY'S,American,Brooklyn,397,Greene Avenue,11216,7182553220,50151047
2026-04-24,BONI & MOTT,Mediterranean,Manhattan,238,Mott Street,10012,6464541216,50156176
2026-04-24,TURBO PIZZA,Pizza,Brooklyn,1540,Dekalb Avenue,11237,4408214054,50171894
2026-04-24,AYAH,Moroccan,Manhattan,77,West Houston Street,10012,2125018900,50175654
2026-04-23,THE GOOD GOOD,American,Manhattan,1694,Park Avenue,10035,9174090103,50105429
2026-04-23,KUN TSUKI XTRA,Japanese,Manhattan,464,West   51 Street,10019,5168066688,50159786
2026-04-23,EATS ON 57 MARKETPLACE,American,Manhattan,363,West   57 Street,10019,2122561960,50179730
2026-04-23,BAIWEIXIAN,Chinese,Brooklyn,5117,8 Avenue,11220,9173840888,50181864
2026-04-23,TP TEA,Coffee/Tea,Manhattan,330,West   58 Street,10019,2127067860,50171914
2026-04-23,HUSO,Haute Cuisine,Manhattan,190A,Duane Street,10013,5612127799,50179899
2026-04-23,LUX BAKERY 1,Bakery Products/Desserts,Brooklyn,6816,4 Avenue,11220,7186802988,50180726
2026-04-23,LAZA DESSERTS,Middle Eastern,Brooklyn,6740,5 Avenue,11220,3478633409,50181503
2026-04-23,K'FAR,American,Brooklyn,97,Wythe Avenue,11249,2124706917,50078937
2026-04-23,Sunset Coffee Shop,Spanish,Brooklyn,5502,3 Avenue,11220,3473372102,50184413
2026-04-23,BECCO,Italian,Manhattan,355,West   46 Street,10036,2123977597,40395055
2026-04-23,MANGOSEEDS,Other,Brooklyn,755,Flatbush Avenue,11226,7185136084,50168365
2026-04-23,OFCORSICA,French,Manhattan,25,11 Avenue,10011,6464757752,50170923
2026-04-23,CHOCOLATE CONNECTS,Bakery Products/Desserts,Brooklyn,994,Coney Island Avenue,11230,7186032068,50175668
2026-04-23,FALAFEL TANAMI,Jewish/Kosher,Brooklyn,1824,Avenue M,11230,7184839100,50175415
2026-04-23,BEST DAMN BREAKFAST BURRITO,American,Manhattan,345,East   12 Street,10003,6466266738,50177152
2026-04-22,POPPY,New American,Manhattan,505,East   12 Street,10009,2125375599,50164593
2026-04-22,PALMA,Italian,Manhattan,28,Cornelia Street,10014,2126912223,40803254
2026-04-22,AUGUST WILSON THEATER,American,Manhattan,245,West   52 Street,10019,9174359178,50164647
2026-04-22,SHOWA ERA,Japanese,Manhattan,767,9 Avenue,10019,3475068832,50181337
2026-04-22,Maui Poke,Other,Brooklyn,6731,Bay Parkway,11204,6468649977,50182864
2026-04-22,CHILO'S,Tex-Mex,Brooklyn,323,Franklin Avenue,11238,9177232884,50180323
2026-04-22,MOLLY’S COFFEE HOUSE,Coffee/Tea,Manhattan,22,Saint Marks Place,10003,9177535665,50181571
2026-04-22,HIGHLIFE / EL CAMINO,American,Manhattan,135,1 Avenue,10003,6463689955,50165070
2026-04-22,FORTUNA,Mediterranean,Manhattan,275,1 Avenue,10003,9172028438,50166521
2026-04-22,NASA CAFE,Sandwiches,Manhattan,653,10 Avenue,10036,5514448804,50172205
2026-04-22,JUST SALAD,Salads,Brooklyn,445,Albee Square,11201,7323004245,50178569
2026-04-22,I'M DONUT?,Donuts,Manhattan,154,West   45 Street,10036,9175888339,50179789
2026-04-21,5 PENN COFFEE BAR,American,Manhattan,5,Penn Plaza,10001,9175928532,50178911
2026-04-21,KORN'S BAKERY,Jewish/Kosher,Brooklyn,454,Bedford Avenue,11249,3477439842,50179647
2026-04-21,EL ANTIGUO CEVICOS,Other,Manhattan,125,Nagle Avenue,10040,9292178365,50181633
2026-04-21,DUNKIN,American,Manhattan,20,Hudson Yards,10001,2123939280,50181731
2026-04-21,SALENTO COLOMBIAN CAFE,Bakery Products/Desserts,Manhattan,132,Hamilton Place,10031,2012909248,50175052
2026-04-21,98K CHICKEN & BURGERS,Chicken,Brooklyn,2114,Nostrand Avenue,11210,6465689199,50181566
2026-04-21,ORIGINAL ROMA PIZZA,Pizza,Manhattan,1562,3 Avenue,10128,2019663971,50183352
2026-04-21,VELVETTE ESPRESSO BAR,Coffee/Tea,Manhattan,130,West   25 Street,10001,7189719131,50174788
2026-04-21,KING'S KITCHEN,Chinese,Manhattan,58,Mott Street,10013,9179455892,50176013
2026-04-21,JUST SALAD,Soups/Salads/Sandwiches,Manhattan,20,Hudson Yards,10001,2122441111,50178576
2026-04-21,EAST BY WEST OMAKASE,Japanese,Manhattan,417,West   50 Street,10019,9292932695,50183085
2026-04-21,NAYA,Middle Eastern,Manhattan,20,Hudson Yards,10001,2125979168,50172917
2026-04-21,VIVIBOWL,Asian/Asian Fusion,Manhattan,303,Park Avenue South,10010,6463989218,50178659
2026-04-21,REL8TIV INC,Other,Brooklyn,320,Franklin Avenue,11238,3233718103,50181508
2026-04-21,PIZZA DAA ROMA,American,Manhattan,621,2 Avenue,10016,6465967071,50181560
2026-04-20,MEAT UP,Mediterranean,Brooklyn,22,Old Fulton Street,11201,3477548064,50172473
2026-04-20,GLATT 16TH,Other,Brooklyn,4809,16 Avenue,11204,6462413418,50173802
2026-04-20,ZARA PIZZA,Pizza,Manhattan,84,Hester Street,10002,9172944135,50174161
2026-04-20,MAYA MEXICAN GRILL,Mexican,Manhattan,1586,1 Avenue,10028,3474764590,50181829
2026-04-20,WIN HING,Chinese,Brooklyn,9816,4 Avenue,11209,7189215926,50167445
